order_id,customer_id,order_date,required_date,sales_channel,order_status,payment_status
ORD-00000091,CUST-000718,2025-10-31,2025-10-31,Retail,Completed,Partial
ORD-00000092,CUST-002258,2026-01-17,2026-01-17,Distributor,Pending,Partial
ORD-00000093,CUST-004398,2026-07-12,2026-07-12,Online,Completed,Partial
ORD-00000094,CUST-004002,2024-11-15,2024-11-15,Direct,Completed,Partial
ORD-00000095,CUST-000790,2025-01-17,2025-01-17,Direct,Cancelled,Pending
ORD-00000096,CUST-004858,2025-03-04,2025-03-04,Direct,Pending,Partial
ORD-00000097,CUST-002455,2026-05-31,2026-05-31,Direct,Completed,Paid
ORD-00000098,CUST-001894,2026-05-11,2026-05-11,Retail,Pending,Paid
ORD-00000099,CUST-004316,2025-10-23,2025-10-23,Retail,Pending,Pending
ORD-00000100,CUST-004103,2025-10-21,2025-10-21,Retail,Cancelled,Paid
ORD-00000101,CUST-001324,2026-01-15,2026-01-15,Distributor,Pending,Paid
ORD-00000102,CUST-000141,2025-05-06,2025-05-06,Online,Completed,Partial
ORD-00000103,CUST-002535,2024-09-04,2024-09-04,Retail,Pending,Partial
ORD-00000104,CUST-001857,2025-09-20,2025-09-20,Retail,Cancelled,Pending
ORD-00000105,CUST-001864,2026-07-18,2026-07-18,Retail,Completed,Partial
ORD-00000106,CUST-004619,2025-12-22,2025-12-22,Retail,Completed,Paid
ORD-00000107,CUST-003026,2024-11-01,2024-11-01,Distributor,Completed,Paid
ORD-00000108,CUST-000797,2025-01-11,2025-01-11,Distributor,Pending,Paid
ORD-00000109,CUST-001647,2025-06-25,2025-06-25,Distributor,Cancelled,Partial
ORD-00000110,CUST-000028,2025-02-14,2025-02-14,Retail,Completed,Partial
ORD-00000111,CUST-001642,2026-06-08,2026-06-08,Distributor,Completed,Paid
ORD-00000112,CUST-000064,2025-06-08,2025-06-08,Distributor,Pending,Paid
ORD-00000113,CUST-001066,2025-03-17,2025-03-17,Retail,Completed,Partial
ORD-00000114,CUST-003281,2026-01-30,2026-01-30,Online,Completed,Paid
ORD-00000115,CUST-001598,2025-07-23,2025-07-23,Online,Completed,Paid
ORD-00000116,CUST-003071,2026-06-25,2026-06-25,Distributor,Completed,Paid
ORD-00000117,CUST-002301,2025-05-02,2025-05-02,Direct,Pending,Paid
ORD-00000118,CUST-002561,2025-06-12,2025-06-12,Distributor,Completed,Partial
ORD-00000119,CUST-001121,2026-01-14,2026-01-14,Retail,Completed,Paid
ORD-00000120,CUST-001197,2025-06-03,2025-06-03,Retail,Pending,Pending
ORD-00000121,CUST-001598,2026-03-27,2026-03-27,Online,Completed,Pending
ORD-00000122,CUST-004250,2026-06-13,2026-06-13,Online,Completed,Pending
ORD-00000123,CUST-004031,2024-09-19,2024-09-19,Online,Completed,Pending
ORD-00000124,CUST-002616,2026-08-20,2026-08-20,Online,Completed,Paid
ORD-00000125,CUST-000458,2025-11-20,2025-11-20,Direct,Completed,Partial
ORD-00000126,CUST-002547,2025-01-18,2025-01-18,Retail,Cancelled,Paid
ORD-00000127,CUST-000159,2026-01-08,2026-01-08,Distributor,Completed,Pending
ORD-00000128,CUST-003682,2026-01-08,2026-01-08,Online,Completed,Pending
ORD-00000129,CUST-000808,2025-12-14,2025-12-14,Retail,Completed,Pending
ORD-00000130,CUST-002797,2025-02-17,2025-02-17,Distributor,Cancelled,Partial
ORD-00000131,CUST-001641,2024-12-09,2024-12-09,Retail,Completed,Partial
ORD-00000132,CUST-003648,2025-07-09,2025-07-09,Online,Cancelled,Paid
ORD-00000133,CUST-004667,2024-10-27,2024-10-27,Retail,Completed,Pending
ORD-00000134,CUST-001291,2026-07-06,2026-07-06,Online,Cancelled,Paid
ORD-00000135,CUST-003955,2026-03-02,2026-03-02,Online,Cancelled,Partial
ORD-00000136,CUST-004907,2025-03-14,2025-03-14,Retail,Completed,Pending
ORD-00000137,CUST-002677,2025-12-12,2025-12-12,Distributor,Cancelled,Partial
ORD-00000138,CUST-000123,2026-01-25,2026-01-25,Direct,Pending,Paid
ORD-00000139,CUST-002143,2024-12-16,2024-12-16,Direct,Cancelled,Paid
ORD-00000140,CUST-000172,2025-09-26,2025-09-26,Distributor,Pending,Paid
ORD-00000141,CUST-001421,2025-08-01,2025-08-01,Retail,Cancelled,Partial
ORD-00000142,CUST-002958,2025-03-20,2025-03-20,Retail,Completed,Pending
ORD-00000143,CUST-000738,2024-09-25,2024-09-25,Online,Pending,Paid
ORD-00000144,CUST-004243,2026-03-08,2026-03-08,Retail,Cancelled,Pending
ORD-00000145,CUST-002063,2024-09-20,2024-09-20,Direct,Cancelled,Pending
ORD-00000146,CUST-001859,2024-10-03,2024-10-03,Distributor,Completed,Partial
ORD-00000147,CUST-000342,2026-07-01,2026-07-01,Retail,Completed,Paid
ORD-00000148,CUST-004442,2025-07-12,2025-07-12,Retail,Completed,Paid
ORD-00000149,CUST-001384,2025-04-11,2025-04-11,Distributor,Cancelled,Paid
ORD-00000150,CUST-001175,2025-04-11,2025-04-11,Direct,Completed,Paid
ORD-00000151,CUST-001470,2025-04-14,2025-04-14,Direct,Pending,Paid
ORD-00000152,CUST-001982,2025-11-08,2025-11-08,Retail,Completed,Partial
ORD-00000153,CUST-002173,2025-05-02,2025-05-02,Direct,Cancelled,Partial
ORD-00000154,CUST-004197,2026-02-04,2026-02-04,Online,Completed,Pending
ORD-00000155,CUST-003333,2025-10-09,2025-10-09,Retail,Completed,Pending
ORD-00000156,CUST-000737,2024-12-04,2024-12-04,Online,Pending,Paid
ORD-00000157,CUST-001718,2025-02-25,2025-02-25,Online,Completed,Paid
ORD-00000158,CUST-000098,2025-04-27,2025-04-27,Direct,Completed,Pending
ORD-00000159,CUST-002581,2025-12-16,2025-12-16,Distributor,Pending,Paid
ORD-00000160,CUST-001012,2025-08-13,2025-08-13,Direct,Completed,Paid
ORD-00000161,CUST-004303,2026-03-01,2026-03-01,Distributor,Completed,Pending
ORD-00000162,CUST-001732,2024-11-09,2024-11-09,Retail,Completed,Pending
ORD-00000163,CUST-003787,2025-07-08,2025-07-08,Retail,Cancelled,Paid
ORD-00000164,CUST-003614,2025-05-09,2025-05-09,Retail,Completed,Partial
ORD-00000165,CUST-000342,2025-05-23,2025-05-23,Online,Pending,Partial
ORD-00000166,CUST-000248,2024-09-06,2024-09-06,Retail,Completed,Paid
ORD-00000167,CUST-004466,2024-09-05,2024-09-05,Direct,Completed,Partial
ORD-00000168,CUST-002420,2026-03-10,2026-03-10,Distributor,Completed,Partial
ORD-00000169,CUST-000401,2025-06-20,2025-06-20,Direct,Completed,Partial
ORD-00000170,CUST-003337,2025-06-12,2025-06-12,Online,Completed,Paid
ORD-00000171,CUST-004521,2026-02-27,2026-02-27,Retail,Completed,Paid
ORD-00000172,CUST-002318,2026-04-17,2026-04-17,Distributor,Completed,Pending
ORD-00000173,CUST-004117,2025-04-01,2025-04-01,Direct,Completed,Pending
ORD-00000174,CUST-004782,2026-03-30,2026-03-30,Retail,Cancelled,Paid
ORD-00000175,CUST-004234,2025-02-16,2025-02-16,Retail,Cancelled,Paid
ORD-00000176,CUST-001071,2025-09-28,2025-09-28,Retail,Completed,Partial
ORD-00000177,CUST-003025,2025-03-19,2025-03-19,Direct,Cancelled,Paid
ORD-00000178,CUST-000545,2026-05-16,2026-05-16,Direct,Completed,Partial
ORD-00000179,CUST-004052,2025-03-01,2025-03-01,Online,Pending,Pending
ORD-00000180,CUST-004996,2025-02-01,2025-02-01,Online,Completed,Pending
ORD-00000181,CUST-001472,2026-01-21,2026-01-21,Distributor,Completed,Paid
ORD-00000182,CUST-002228,2026-05-29,2026-05-29,Direct,Completed,Partial
ORD-00000183,CUST-001464,2026-05-18,2026-05-18,Direct,Completed,Partial
ORD-00000184,CUST-002747,2024-09-21,2024-09-21,Distributor,Completed,Paid
ORD-00000185,CUST-001783,2026-05-28,2026-05-28,Distributor,Cancelled,Paid
ORD-00000186,CUST-000135,2025-04-19,2025-04-19,Online,Pending,Paid
ORD-00000187,CUST-003951,2025-09-17,2025-09-17,Distributor,Cancelled,Partial
ORD-00000188,CUST-003594,2024-10-27,2024-10-27,Retail,Cancelled,Partial
ORD-00000189,CUST-004048,2026-03-14,2026-03-14,Online,Completed,Paid
ORD-00000190,CUST-002316,2025-09-29,2025-09-29,Retail,Completed,Pending
ORD-00000191,CUST-001636,2025-09-27,2025-09-27,Direct,Completed,Partial
ORD-00000192,CUST-001590,2024-09-03,2024-09-03,Direct,Cancelled,Pending
ORD-00000193,CUST-002208,2025-06-18,2025-06-18,Distributor,Completed,Paid
ORD-00000194,CUST-001043,2026-03-28,2026-03-28,Distributor,Completed,Paid
ORD-00000195,CUST-004950,2025-11-23,2025-11-23,Distributor,Pending,Paid
ORD-00000196,CUST-002839,2026-02-19,2026-02-19,Distributor,Pending,Paid
ORD-00000197,CUST-000883,2024-09-20,2024-09-20,Online,Completed,Paid
ORD-00000198,CUST-003651,2026-02-14,2026-02-14,Distributor,Completed,Partial
ORD-00000199,CUST-004802,2026-08-16,2026-08-16,Distributor,Completed,Paid
ORD-00000200,CUST-004837,2025-08-29,2025-08-29,Retail,Cancelled,Paid
ORD-00000201,CUST-002369,2026-08-22,2026-08-22,Direct,Cancelled,Paid
ORD-00000202,CUST-000238,2025-02-03,2025-02-03,Distributor,Pending,Pending
ORD-00000203,CUST-000199,2026-01-31,2026-01-31,Online,Completed,Pending
ORD-00000204,CUST-002592,2025-02-10,2025-02-10,Online,Completed,Pending
ORD-00000205,CUST-001809,2026-04-28,2026-04-28,Distributor,Completed,Paid
ORD-00000206,CUST-002574,2025-08-23,2025-08-23,Online,Pending,Paid
ORD-00000207,CUST-003043,2024-11-10,2024-11-10,Retail,Pending,Paid
ORD-00000208,CUST-000973,2024-12-06,2024-12-06,Distributor,Cancelled,Pending
ORD-00000209,CUST-004099,2025-06-28,2025-06-28,Online,Completed,Partial
ORD-00000210,CUST-000823,2025-02-18,2025-02-18,Retail,Cancelled,Paid
ORD-00000211,CUST-002911,2026-01-04,2026-01-04,Online,Cancelled,Pending
ORD-00000212,CUST-004717,2025-02-19,2025-02-19,Distributor,Completed,Paid
ORD-00000213,CUST-001377,2026-01-29,2026-01-29,Direct,Completed,Paid
ORD-00000214,CUST-002432,2025-02-04,2025-02-04,Distributor,Completed,Paid
ORD-00000215,CUST-000679,2025-01-30,2025-01-30,Retail,Completed,Pending
ORD-00000216,CUST-001729,2025-03-04,2025-03-04,Retail,Cancelled,Pending
ORD-00000217,CUST-003777,2026-07-11,2026-07-11,Online,Completed,Paid
ORD-00000218,CUST-002315,2024-12-22,2024-12-22,Retail,Completed,Partial
ORD-00000219,CUST-001144,2026-05-14,2026-05-14,Online,Completed,Paid
ORD-00000220,CUST-004416,2025-12-12,2025-12-12,Online,Completed,Pending
ORD-00000221,CUST-004480,2025-03-30,2025-03-30,Retail,Completed,Partial
ORD-00000222,CUST-004106,2025-03-07,2025-03-07,Distributor,Cancelled,Partial
ORD-00000223,CUST-001868,2024-12-15,2024-12-15,Retail,Cancelled,Paid
ORD-00000224,CUST-003889,2024-10-24,2024-10-24,Direct,Completed,Partial
ORD-00000225,CUST-004144,2026-07-13,2026-07-13,Distributor,Completed,Paid
ORD-00000226,CUST-000198,2026-03-04,2026-03-04,Direct,Cancelled,Paid
ORD-00000227,CUST-002822,2025-01-13,2025-01-13,Distributor,Completed,Paid
ORD-00000228,CUST-001458,2025-05-13,2025-05-13,Online,Completed,Paid
ORD-00000229,CUST-004296,2025-01-01,2025-01-01,Retail,Completed,Partial
ORD-00000230,CUST-000925,2025-09-12,2025-09-12,Retail,Pending,Paid
ORD-00000231,CUST-001991,2026-06-20,2026-06-20,Distributor,Cancelled,Partial
ORD-00000232,CUST-002561,2024-12-23,2024-12-23,Distributor,Completed,Paid
ORD-00000233,CUST-000844,2026-08-08,2026-08-08,Online,Completed,Pending
ORD-00000234,CUST-001662,2026-03-23,2026-03-23,Online,Completed,Partial
ORD-00000235,CUST-003868,2026-04-24,2026-04-24,Direct,Pending,Partial
ORD-00000236,CUST-001677,2026-08-14,2026-08-14,Retail,Completed,Pending
ORD-00000237,CUST-001400,2025-07-21,2025-07-21,Retail,Completed,Partial
ORD-00000238,CUST-004843,2026-03-07,2026-03-07,Retail,Completed,Partial
ORD-00000239,CUST-003462,2025-09-03,2025-09-03,Retail,Cancelled,Paid
ORD-00000240,CUST-002210,2026-05-11,2026-05-11,Distributor,Cancelled,Paid
ORD-00000241,CUST-003159,2026-02-20,2026-02-20,Online,Pending,Paid
ORD-00000242,CUST-000204,2025-12-10,2025-12-10,Distributor,Completed,Paid
ORD-00000243,CUST-000893,2026-02-18,2026-02-18,Distributor,Pending,Partial
ORD-00000244,CUST-003202,2026-08-01,2026-08-01,Distributor,Completed,Paid
ORD-00000245,CUST-001491,2026-03-25,2026-03-25,Online,Completed,Pending
ORD-00000246,CUST-003017,2025-10-30,2025-10-30,Retail,Completed,Pending
ORD-00000247,CUST-000409,2025-02-11,2025-02-11,Distributor,Completed,Pending
ORD-00000248,CUST-001431,2025-03-04,2025-03-04,Retail,Cancelled,Partial
ORD-00000249,CUST-002739,2025-03-15,2025-03-15,Retail,Completed,Paid
ORD-00000250,CUST-000090,2024-10-24,2024-10-24,Retail,Completed,Partial
ORD-00000251,CUST-001782,2025-08-05,2025-08-05,Distributor,Completed,Paid
ORD-00000252,CUST-000138,2025-11-15,2025-11-15,Online,Completed,Paid
ORD-00000253,CUST-001072,2024-10-09,2024-10-09,Distributor,Completed,Partial
ORD-00000254,CUST-003142,2026-06-16,2026-06-16,Direct,Cancelled,Pending
ORD-00000255,CUST-003672,2025-10-18,2025-10-18,Distributor,Cancelled,Partial
ORD-00000256,CUST-004289,2026-05-24,2026-05-24,Distributor,Cancelled,Paid
ORD-00000257,CUST-004303,2026-05-13,2026-05-13,Online,Completed,Paid
ORD-00000258,CUST-002762,2026-03-22,2026-03-22,Direct,Completed,Paid
ORD-00000259,CUST-003457,2024-11-27,2024-11-27,Direct,Cancelled,Paid
ORD-00000260,CUST-004329,2025-10-12,2025-10-12,Online,Completed,Paid
ORD-00000261,CUST-003477,2024-08-28,2024-08-28,Direct,Completed,Paid
ORD-00000262,CUST-002255,2025-09-13,2025-09-13,Online,Pending,Pending
ORD-00000263,CUST-000641,2025-03-23,2025-03-23,Direct,Completed,Paid
ORD-00000264,CUST-003202,2025-11-05,2025-11-05,Online,Completed,Partial
ORD-00000265,CUST-002829,2026-01-07,2026-01-07,Online,Cancelled,Partial
ORD-00000266,CUST-002076,2026-03-07,2026-03-07,Distributor,Completed,Partial
ORD-00000267,CUST-002831,2025-11-14,2025-11-14,Online,Cancelled,Pending
ORD-00000268,CUST-003418,2025-12-13,2025-12-13,Retail,Completed,Paid
ORD-00000269,CUST-000167,2026-04-01,2026-04-01,Direct,Cancelled,Partial
ORD-00000270,CUST-001150,2025-04-08,2025-04-08,Online,Completed,Pending
ORD-00000271,CUST-001715,2025-12-23,2025-12-23,Distributor,Pending,Partial
ORD-00000272,CUST-000295,2026-04-11,2026-04-11,Direct,Pending,Pending
ORD-00000273,CUST-004945,2026-08-01,2026-08-01,Online,Completed,Partial
ORD-00000274,CUST-003880,2025-03-02,2025-03-02,Retail,Cancelled,Paid
ORD-00000275,CUST-000743,2025-06-18,2025-06-18,Retail,Completed,Paid
ORD-00000276,CUST-004934,2025-02-24,2025-02-24,Online,Cancelled,Paid
ORD-00000277,CUST-001080,2025-12-21,2025-12-21,Retail,Completed,Pending
ORD-00000278,CUST-001678,2025-06-10,2025-06-10,Distributor,Cancelled,Paid
ORD-00000279,CUST-003491,2026-03-05,2026-03-05,Direct,Completed,Paid
ORD-00000280,CUST-003406,2025-04-03,2025-04-03,Direct,Completed,Paid
ORD-00000281,CUST-001713,2025-02-21,2025-02-21,Distributor,Completed,Pending
ORD-00000282,CUST-000618,2025-12-10,2025-12-10,Distributor,Cancelled,Pending
ORD-00000283,CUST-002108,2026-06-20,2026-06-20,Online,Pending,Pending
ORD-00000284,CUST-001931,2026-05-25,2026-05-25,Direct,Completed,Pending
ORD-00000285,CUST-000667,2025-03-18,2025-03-18,Online,Completed,Paid
ORD-00000286,CUST-000050,2024-08-26,2024-08-26,Distributor,Completed,Partial
ORD-00000287,CUST-000755,2025-02-09,2025-02-09,Distributor,Completed,Partial
ORD-00000288,CUST-002360,2026-02-25,2026-02-25,Direct,Completed,Paid
ORD-00000289,CUST-003162,2024-10-08,2024-10-08,Distributor,Cancelled,Paid
ORD-00000290,CUST-000483,2026-06-09,2026-06-09,Online,Completed,Pending
ORD-00000291,CUST-002160,2026-01-27,2026-01-27,Distributor,Completed,Partial
ORD-00000292,CUST-001460,2025-12-22,2025-12-22,Retail,Completed,Paid
ORD-00000293,CUST-003267,2025-12-29,2025-12-29,Retail,Completed,Partial
ORD-00000294,CUST-002710,2026-05-20,2026-05-20,Online,Pending,Partial
ORD-00000295,CUST-003720,2026-06-16,2026-06-16,Direct,Completed,Partial
ORD-00000296,CUST-003224,2026-05-20,2026-05-20,Direct,Pending,Partial
ORD-00000297,CUST-001866,2025-12-30,2025-12-30,Retail,Pending,Partial
ORD-00000298,CUST-003261,2024-09-09,2024-09-09,Retail,Completed,Paid
ORD-00000299,CUST-002721,2025-02-13,2025-02-13,Direct,Cancelled,Paid
ORD-00000300,CUST-004204,2026-06-15,2026-06-15,Online,Cancelled,Paid
ORD-00000301,CUST-002980,2025-05-04,2025-05-04,Retail,Completed,Paid
ORD-00000302,CUST-002148,2024-12-04,2024-12-04,Direct,Completed,Paid
ORD-00000303,CUST-004605,2025-02-11,2025-02-11,Online,Completed,Pending
ORD-00000304,CUST-004874,2025-03-07,2025-03-07,Online,Completed,Paid
ORD-00000305,CUST-000347,2026-05-07,2026-05-07,Distributor,Completed,Pending
ORD-00000306,CUST-003925,2026-02-19,2026-02-19,Direct,Cancelled,Pending
ORD-00000307,CUST-002147,2025-10-30,2025-10-30,Online,Completed,Paid
ORD-00000308,CUST-000130,2024-11-30,2024-11-30,Retail,Pending,Paid
ORD-00000309,CUST-000548,2026-04-29,2026-04-29,Online,Completed,Paid
ORD-00000310,CUST-003780,2024-11-29,2024-11-29,Retail,Pending,Pending
ORD-00000311,CUST-003896,2025-03-30,2025-03-30,Distributor,Completed,Paid
ORD-00000312,CUST-000876,2026-07-29,2026-07-29,Distributor,Completed,Paid
ORD-00000313,CUST-000492,2026-02-21,2026-02-21,Online,Completed,Paid
ORD-00000314,CUST-002128,2025-08-05,2025-08-05,Online,Pending,Paid
ORD-00000315,CUST-004655,2025-03-03,2025-03-03,Distributor,Cancelled,Pending
ORD-00000316,CUST-003819,2026-01-07,2026-01-07,Retail,Pending,Paid
ORD-00000317,CUST-001799,2026-04-02,2026-04-02,Retail,Completed,Paid
ORD-00000318,CUST-003383,2026-02-23,2026-02-23,Distributor,Completed,Partial
ORD-00000319,CUST-003160,2025-03-01,2025-03-01,Online,Completed,Paid
ORD-00000320,CUST-000422,2025-09-26,2025-09-26,Online,Cancelled,Pending
ORD-00000321,CUST-003970,2025-08-14,2025-08-14,Online,Completed,Partial
ORD-00000322,CUST-004709,2026-07-23,2026-07-23,Distributor,Cancelled,Paid
ORD-00000323,CUST-000813,2026-07-18,2026-07-18,Direct,Completed,Paid
ORD-00000324,CUST-000350,2026-07-30,2026-07-30,Retail,Completed,Paid
ORD-00000325,CUST-004237,2024-10-14,2024-10-14,Retail,Completed,Paid
ORD-00000326,CUST-002736,2025-01-19,2025-01-19,Direct,Pending,Partial
ORD-00000327,CUST-004818,2026-06-03,2026-06-03,Distributor,Completed,Paid
ORD-00000328,CUST-001410,2025-04-21,2025-04-21,Direct,Completed,Pending
ORD-00000329,CUST-002465,2024-12-13,2024-12-13,Direct,Completed,Partial
ORD-00000330,CUST-000668,2025-04-20,2025-04-20,Online,Completed,Paid
ORD-00000331,CUST-001419,2025-02-18,2025-02-18,Online,Completed,Pending
ORD-00000332,CUST-002673,2026-08-24,2026-08-24,Online,Completed,Paid
ORD-00000333,CUST-000171,2024-10-26,2024-10-26,Direct,Completed,Paid
ORD-00000334,CUST-002849,2025-12-27,2025-12-27,Distributor,Cancelled,Paid
ORD-00000335,CUST-002286,2025-07-29,2025-07-29,Distributor,Cancelled,Pending
ORD-00000336,CUST-001693,2026-02-21,2026-02-21,Direct,Cancelled,Pending
