quality_check_id,production_id,inspection_date,inspector_id,units_inspected,defective_units,defect_type,result
QC-00000093,PROD-00055787,2026-06-25,EMP-00298,1880,84,None,Passed
QC-00000094,PROD-00052125,2026-06-30,EMP-00496,2920,5,None,Passed
QC-00000095,PROD-00141463,2025-08-13,EMP-00305,745,42,Surface,Failed
QC-00000096,PROD-00027554,2026-08-13,EMP-00471,1696,136,Material,Failed
QC-00000097,PROD-00083505,2025-07-14,EMP-00489,1042,102,None,Failed
QC-00000098,PROD-00075809,2025-01-11,EMP-00191,1166,44,Material,Passed
QC-00000099,PROD-00079275,2024-12-18,EMP-00492,1976,10,Surface,Passed
QC-00000100,PROD-00139936,2026-07-12,EMP-00090,715,65,Surface,Failed
QC-00000101,PROD-00077373,2024-09-01,EMP-00407,887,62,None,Failed
QC-00000102,PROD-00028667,2025-07-21,EMP-00401,2042,27,Assembly,Passed
QC-00000103,PROD-00120450,2025-09-22,EMP-00158,2604,196,None,Failed
QC-00000104,PROD-00273139,2026-04-26,EMP-00316,2898,202,Dimensional,Failed
QC-00000105,PROD-00161134,2025-01-11,EMP-00449,1694,99,Surface,Failed
QC-00000106,PROD-00155489,2025-09-18,EMP-00090,2008,91,Material,Passed
QC-00000107,PROD-00116546,2025-09-07,EMP-00146,1846,100,Dimensional,Failed
QC-00000108,PROD-00052194,2025-06-17,EMP-00471,1193,119,Material,Failed
QC-00000109,PROD-00116774,2026-02-13,EMP-00498,1254,98,Assembly,Failed
QC-00000110,PROD-00027201,2025-09-22,EMP-00144,2652,83,Surface,Passed
QC-00000111,PROD-00026697,2026-03-06,EMP-00148,583,14,Material,Passed
QC-00000112,PROD-00079961,2026-03-08,EMP-00074,1285,8,Material,Passed
QC-00000113,PROD-00210379,2025-06-21,EMP-00280,1656,165,Assembly,Failed
QC-00000114,PROD-00154492,2026-02-18,EMP-00175,2860,193,Assembly,Failed
QC-00000115,PROD-00235048,2024-12-07,EMP-00193,944,93,Dimensional,Failed
QC-00000116,PROD-00109092,2025-03-26,EMP-00328,2667,221,Assembly,Failed
QC-00000117,PROD-00205902,2024-12-02,EMP-00278,592,31,None,Failed
QC-00000118,PROD-00101319,2025-07-22,EMP-00340,1758,3,Dimensional,Passed
QC-00000119,PROD-00023027,2025-04-04,EMP-00498,992,28,Material,Passed
QC-00000120,PROD-00067193,2026-08-08,EMP-00078,2951,147,Surface,Passed
QC-00000121,PROD-00098959,2024-10-29,EMP-00318,796,41,Dimensional,Failed
QC-00000122,PROD-00103875,2024-09-30,EMP-00103,2726,4,Assembly,Passed
QC-00000123,PROD-00052156,2025-11-09,EMP-00332,2528,54,Dimensional,Passed
QC-00000124,PROD-00206216,2025-03-08,EMP-00146,1194,50,Material,Passed
QC-00000125,PROD-00193391,2026-06-05,EMP-00407,771,42,None,Failed
QC-00000126,PROD-00212042,2026-07-10,EMP-00358,2527,27,Surface,Passed
QC-00000127,PROD-00292022,2025-05-01,EMP-00331,750,15,None,Passed
QC-00000128,PROD-00196631,2025-08-11,EMP-00482,2726,46,Surface,Passed
QC-00000129,PROD-00077647,2025-10-13,EMP-00098,2960,2,Material,Passed
QC-00000130,PROD-00271728,2026-03-26,EMP-00101,1750,86,Material,Passed
QC-00000131,PROD-00261532,2025-11-20,EMP-00423,1549,46,Material,Passed
QC-00000132,PROD-00227792,2024-11-14,EMP-00069,1168,13,Surface,Passed
QC-00000133,PROD-00256648,2025-08-09,EMP-00223,1335,18,None,Passed
QC-00000134,PROD-00281641,2025-10-21,EMP-00079,1715,87,Surface,Failed
QC-00000135,PROD-00146591,2024-10-02,EMP-00010,2895,285,Material,Failed
QC-00000136,PROD-00055837,2026-03-27,EMP-00055,524,22,Material,Passed
QC-00000137,PROD-00001868,2026-02-22,EMP-00203,3000,48,Assembly,Passed
QC-00000138,PROD-00115880,2025-02-23,EMP-00114,2060,162,Dimensional,Failed
QC-00000139,PROD-00129582,2025-03-19,EMP-00078,540,0,Assembly,Passed
QC-00000140,PROD-00204484,2026-03-03,EMP-00128,2325,189,Material,Failed
QC-00000141,PROD-00072772,2026-04-02,EMP-00018,1429,15,Assembly,Passed
QC-00000142,PROD-00124356,2025-06-16,EMP-00166,2865,23,None,Passed
QC-00000143,PROD-00193739,2025-09-17,EMP-00186,2615,40,None,Passed
QC-00000144,PROD-00268923,2024-11-01,EMP-00143,2201,95,Dimensional,Passed
QC-00000145,PROD-00077133,2025-07-13,EMP-00410,1569,21,Material,Passed
QC-00000146,PROD-00160834,2025-11-12,EMP-00096,2427,146,None,Failed
QC-00000147,PROD-00073375,2026-02-16,EMP-00414,2988,121,None,Passed
QC-00000148,PROD-00204125,2024-09-10,EMP-00112,627,7,Surface,Passed
QC-00000149,PROD-00157952,2026-03-22,EMP-00031,616,6,Material,Passed
QC-00000150,PROD-00175800,2025-11-15,EMP-00475,2375,165,Assembly,Failed
QC-00000151,PROD-00154770,2025-10-19,EMP-00079,2453,164,Surface,Failed
QC-00000152,PROD-00185732,2025-07-17,EMP-00217,2253,39,Dimensional,Passed
QC-00000153,PROD-00271547,2026-02-11,EMP-00026,1867,44,Surface,Passed
QC-00000154,PROD-00277397,2025-02-22,EMP-00289,502,47,Assembly,Failed
QC-00000155,PROD-00061929,2025-03-21,EMP-00238,860,49,Dimensional,Failed
QC-00000156,PROD-00088350,2026-03-14,EMP-00408,2172,49,Material,Passed
QC-00000157,PROD-00124569,2025-05-20,EMP-00400,2788,203,Dimensional,Failed
QC-00000158,PROD-00041864,2026-05-18,EMP-00395,2884,247,None,Failed
QC-00000159,PROD-00222721,2026-06-14,EMP-00432,1777,3,Assembly,Passed
QC-00000160,PROD-00033109,2025-04-26,EMP-00391,2536,172,Dimensional,Failed
QC-00000161,PROD-00058599,2025-01-20,EMP-00299,880,51,None,Failed
QC-00000162,PROD-00073656,2026-06-16,EMP-00030,2730,164,Surface,Failed
QC-00000163,PROD-00019609,2025-07-10,EMP-00089,2145,163,Surface,Failed
QC-00000164,PROD-00122093,2025-03-29,EMP-00025,734,46,Surface,Failed
QC-00000165,PROD-00189829,2026-04-29,EMP-00034,2581,169,Surface,Failed
QC-00000166,PROD-00138631,2025-03-07,EMP-00198,742,11,None,Passed
QC-00000167,PROD-00085987,2026-04-07,EMP-00288,2806,247,Material,Failed
QC-00000168,PROD-00039042,2025-09-22,EMP-00178,1298,106,Material,Failed
QC-00000169,PROD-00227653,2026-04-29,EMP-00404,1346,68,Assembly,Failed
QC-00000170,PROD-00082363,2026-03-07,EMP-00284,617,42,Assembly,Failed
QC-00000171,PROD-00136000,2024-09-24,EMP-00313,2255,31,Material,Passed
QC-00000172,PROD-00210378,2025-01-19,EMP-00413,1941,36,Dimensional,Passed
QC-00000173,PROD-00064735,2024-09-19,EMP-00443,2297,43,Material,Passed
QC-00000174,PROD-00088967,2026-07-14,EMP-00118,1576,28,Material,Passed
QC-00000175,PROD-00007781,2026-07-07,EMP-00090,2373,204,Surface,Failed
QC-00000176,PROD-00045714,2026-08-14,EMP-00457,2899,92,Surface,Passed
QC-00000177,PROD-00223202,2024-11-09,EMP-00162,2244,65,None,Passed
QC-00000178,PROD-00268330,2024-09-12,EMP-00143,2231,158,Surface,Failed
QC-00000179,PROD-00211238,2024-08-30,EMP-00055,2409,143,Dimensional,Failed
QC-00000180,PROD-00278905,2026-07-01,EMP-00269,2670,47,Dimensional,Passed
QC-00000181,PROD-00113365,2025-04-05,EMP-00102,633,19,Dimensional,Passed
QC-00000182,PROD-00022635,2026-07-10,EMP-00397,707,37,Surface,Failed
QC-00000183,PROD-00277029,2025-08-03,EMP-00302,1098,45,Assembly,Passed
QC-00000184,PROD-00008980,2026-04-19,EMP-00304,1412,102,Assembly,Failed
QC-00000185,PROD-00253375,2024-10-13,EMP-00298,1379,109,Material,Failed
QC-00000186,PROD-00232152,2025-09-24,EMP-00250,1130,113,Assembly,Failed
QC-00000187,PROD-00030666,2025-10-05,EMP-00270,761,9,Material,Passed
QC-00000188,PROD-00219871,2025-08-10,EMP-00145,684,16,None,Passed
QC-00000189,PROD-00053092,2026-03-01,EMP-00488,1838,13,Surface,Passed
QC-00000190,PROD-00081560,2026-07-16,EMP-00363,2891,170,Material,Failed
QC-00000191,PROD-00299149,2026-05-04,EMP-00468,1793,70,Material,Passed
QC-00000192,PROD-00024315,2026-03-26,EMP-00260,2270,223,Assembly,Failed
QC-00000193,PROD-00095259,2026-06-23,EMP-00042,1030,64,Surface,Failed
QC-00000194,PROD-00074518,2025-04-26,EMP-00263,611,11,Material,Passed
QC-00000195,PROD-00199134,2026-08-24,EMP-00167,2153,124,Surface,Failed
QC-00000196,PROD-00167072,2025-03-20,EMP-00390,2640,122,Material,Passed
QC-00000197,PROD-00118766,2026-03-26,EMP-00147,751,44,Surface,Failed
QC-00000198,PROD-00110880,2025-12-24,EMP-00277,1328,70,Assembly,Failed
QC-00000199,PROD-00061986,2026-07-05,EMP-00472,1031,99,Assembly,Failed
QC-00000200,PROD-00116536,2026-02-04,EMP-00477,886,59,Dimensional,Failed
QC-00000201,PROD-00013202,2025-12-25,EMP-00159,2131,112,Surface,Failed
QC-00000202,PROD-00158691,2026-01-11,EMP-00373,2115,90,Material,Passed
QC-00000203,PROD-00012709,2026-07-20,EMP-00367,845,58,Assembly,Failed
QC-00000204,PROD-00098542,2025-11-12,EMP-00058,2236,155,Dimensional,Failed
QC-00000205,PROD-00061487,2025-06-26,EMP-00461,938,3,Dimensional,Passed
QC-00000206,PROD-00287937,2025-08-13,EMP-00089,1999,144,Material,Failed
QC-00000207,PROD-00137190,2025-03-21,EMP-00239,897,49,Dimensional,Failed
QC-00000208,PROD-00206112,2025-02-07,EMP-00083,1699,166,Dimensional,Failed
QC-00000209,PROD-00064328,2024-10-11,EMP-00459,2799,51,Dimensional,Passed
QC-00000210,PROD-00084237,2025-02-21,EMP-00217,557,7,Surface,Passed
QC-00000211,PROD-00056411,2025-09-23,EMP-00254,2835,85,Material,Passed
QC-00000212,PROD-00255586,2025-09-26,EMP-00171,657,18,None,Passed
QC-00000213,PROD-00293795,2026-06-30,EMP-00028,1988,80,Dimensional,Passed
QC-00000214,PROD-00094080,2025-09-17,EMP-00085,2562,136,Assembly,Failed
QC-00000215,PROD-00090606,2025-11-10,EMP-00481,2820,184,Dimensional,Failed
QC-00000216,PROD-00021120,2025-12-25,EMP-00445,868,13,Dimensional,Passed
QC-00000217,PROD-00210099,2026-06-24,EMP-00306,1246,73,Assembly,Failed
QC-00000218,PROD-00170315,2025-11-03,EMP-00433,1418,6,Surface,Passed
QC-00000219,PROD-00108816,2024-12-05,EMP-00499,2909,102,Assembly,Passed
QC-00000220,PROD-00058688,2024-10-10,EMP-00063,2548,245,Material,Failed
QC-00000221,PROD-00067425,2025-05-08,EMP-00185,2625,143,Dimensional,Failed
QC-00000222,PROD-00057510,2026-04-04,EMP-00063,2116,56,None,Passed
QC-00000223,PROD-00081487,2025-12-29,EMP-00185,2986,258,None,Failed
QC-00000224,PROD-00247179,2026-01-19,EMP-00088,1097,55,Dimensional,Failed
QC-00000225,PROD-00290163,2024-09-04,EMP-00185,2827,68,None,Passed
QC-00000226,PROD-00252150,2025-10-31,EMP-00143,2286,126,Material,Failed
QC-00000227,PROD-00240276,2026-06-28,EMP-00280,2256,22,Material,Passed
QC-00000228,PROD-00218869,2025-05-20,EMP-00117,706,20,None,Passed
QC-00000229,PROD-00252503,2025-10-19,EMP-00410,2866,261,None,Failed
QC-00000230,PROD-00293035,2026-06-17,EMP-00156,1957,44,Surface,Passed
QC-00000231,PROD-00159879,2026-04-28,EMP-00235,2388,224,Dimensional,Failed
QC-00000232,PROD-00098638,2025-08-17,EMP-00343,1426,105,Surface,Failed
QC-00000233,PROD-00214680,2025-11-01,EMP-00146,542,54,Dimensional,Failed
QC-00000234,PROD-00159294,2026-03-05,EMP-00220,2301,109,Dimensional,Passed
QC-00000235,PROD-00093790,2026-02-02,EMP-00336,2554,210,None,Failed
QC-00000236,PROD-00084323,2025-05-20,EMP-00334,947,68,None,Failed
QC-00000237,PROD-00000693,2026-05-18,EMP-00421,2958,192,Material,Failed
QC-00000238,PROD-00115499,2025-01-13,EMP-00428,2664,251,Material,Failed
QC-00000239,PROD-00228834,2025-06-23,EMP-00052,642,0,Surface,Passed
QC-00000240,PROD-00187219,2026-03-05,EMP-00055,2892,43,Dimensional,Passed
QC-00000241,PROD-00061840,2025-02-04,EMP-00432,2868,110,None,Passed
QC-00000242,PROD-00267678,2026-06-27,EMP-00414,1795,46,None,Passed
QC-00000243,PROD-00154178,2025-02-19,EMP-00344,2322,48,Material,Passed
QC-00000244,PROD-00104353,2025-06-02,EMP-00022,2743,73,Dimensional,Passed
QC-00000245,PROD-00208499,2026-04-13,EMP-00459,1321,14,Surface,Passed
QC-00000246,PROD-00048968,2026-03-06,EMP-00312,2955,118,Surface,Passed
QC-00000247,PROD-00019371,2025-06-04,EMP-00041,1119,5,Assembly,Passed
QC-00000248,PROD-00135321,2026-07-28,EMP-00217,2874,214,Dimensional,Failed
QC-00000249,PROD-00205293,2025-10-03,EMP-00493,2351,184,Assembly,Failed
QC-00000250,PROD-00065392,2024-09-20,EMP-00427,2920,11,Material,Passed
QC-00000251,PROD-00135198,2025-09-07,EMP-00255,2702,265,Material,Failed
QC-00000252,PROD-00144010,2026-07-06,EMP-00234,2619,257,None,Failed
QC-00000253,PROD-00080367,2026-08-10,EMP-00274,2924,233,Surface,Failed
QC-00000254,PROD-00056901,2025-01-27,EMP-00181,609,1,Material,Passed
QC-00000255,PROD-00006464,2024-12-03,EMP-00083,1586,37,Assembly,Passed
QC-00000256,PROD-00295262,2025-08-24,EMP-00278,2298,134,Surface,Failed
QC-00000257,PROD-00070882,2026-01-31,EMP-00059,792,27,Surface,Passed
QC-00000258,PROD-00101071,2025-05-28,EMP-00161,1191,88,Dimensional,Failed
QC-00000259,PROD-00157358,2024-09-22,EMP-00324,1638,45,Surface,Passed
QC-00000260,PROD-00003084,2024-12-26,EMP-00206,504,8,Material,Passed
QC-00000261,PROD-00193400,2025-05-30,EMP-00404,543,33,Dimensional,Failed
QC-00000262,PROD-00016902,2025-05-28,EMP-00109,2270,208,Material,Failed
QC-00000263,PROD-00195469,2026-07-08,EMP-00336,2941,90,None,Passed
QC-00000264,PROD-00220851,2024-11-22,EMP-00487,798,26,Material,Passed
QC-00000265,PROD-00081438,2025-10-14,EMP-00349,728,13,Material,Passed
QC-00000266,PROD-00260030,2024-09-18,EMP-00144,1075,37,Material,Passed
QC-00000267,PROD-00116757,2025-08-12,EMP-00459,1060,106,Material,Failed
QC-00000268,PROD-00215801,2025-02-21,EMP-00295,2287,148,Assembly,Failed
QC-00000269,PROD-00137120,2026-07-08,EMP-00383,1564,25,Assembly,Passed
QC-00000270,PROD-00038411,2025-08-27,EMP-00058,823,20,Assembly,Passed
QC-00000271,PROD-00093974,2025-08-12,EMP-00322,1959,22,None,Passed
QC-00000272,PROD-00215024,2025-11-07,EMP-00482,2520,169,Dimensional,Failed
QC-00000273,PROD-00209002,2025-06-07,EMP-00052,1551,120,Assembly,Failed
QC-00000274,PROD-00195454,2025-04-09,EMP-00433,859,66,None,Failed
QC-00000275,PROD-00065090,2025-01-25,EMP-00335,650,11,Material,Passed
QC-00000276,PROD-00078945,2026-05-01,EMP-00129,2692,16,Surface,Passed
QC-00000277,PROD-00118634,2025-07-26,EMP-00007,2519,112,Surface,Passed
QC-00000278,PROD-00134810,2026-02-10,EMP-00313,797,7,Assembly,Passed
QC-00000279,PROD-00126797,2025-10-08,EMP-00356,2247,165,None,Failed
QC-00000280,PROD-00275351,2026-04-30,EMP-00482,2700,137,Surface,Failed
QC-00000281,PROD-00142792,2026-03-14,EMP-00014,548,7,Material,Passed
QC-00000282,PROD-00165549,2025-06-01,EMP-00003,2687,85,Assembly,Passed
QC-00000283,PROD-00212778,2024-12-23,EMP-00417,669,22,Dimensional,Passed
QC-00000284,PROD-00231656,2025-10-10,EMP-00473,1930,6,Assembly,Passed
QC-00000285,PROD-00175728,2025-11-24,EMP-00240,2648,252,Material,Failed
QC-00000286,PROD-00216420,2026-02-25,EMP-00406,1501,135,Assembly,Failed
QC-00000287,PROD-00052856,2024-09-13,EMP-00274,1333,106,Assembly,Failed
QC-00000288,PROD-00097449,2025-05-22,EMP-00469,1045,12,Assembly,Passed
QC-00000289,PROD-00201299,2025-04-01,EMP-00490,2603,42,Surface,Passed
QC-00000290,PROD-00136188,2025-06-28,EMP-00183,1782,25,None,Passed
QC-00000291,PROD-00031294,2024-09-22,EMP-00340,2021,172,None,Failed
QC-00000292,PROD-00027624,2025-04-18,EMP-00106,2798,269,Assembly,Failed
QC-00000293,PROD-00099541,2025-10-08,EMP-00469,2887,244,Material,Failed
QC-00000294,PROD-00016645,2025-05-21,EMP-00145,2905,198,Dimensional,Failed
QC-00000295,PROD-00170160,2024-09-06,EMP-00386,1531,130,Material,Failed
QC-00000296,PROD-00130834,2025-01-27,EMP-00205,2218,180,Material,Failed
QC-00000297,PROD-00221963,2025-06-20,EMP-00200,2882,107,Assembly,Passed
QC-00000298,PROD-00019664,2025-11-28,EMP-00207,1311,85,Surface,Failed
QC-00000299,PROD-00118162,2026-08-19,EMP-00394,2597,159,Material,Failed
QC-00000300,PROD-00012292,2025-01-28,EMP-00242,2590,243,Dimensional,Failed
QC-00000301,PROD-00189030,2026-02-23,EMP-00131,1099,106,Assembly,Failed
QC-00000302,PROD-00240980,2024-09-06,EMP-00367,2891,248,Dimensional,Failed
QC-00000303,PROD-00054265,2025-02-15,EMP-00426,2869,177,None,Failed
QC-00000304,PROD-00013871,2026-01-12,EMP-00250,718,11,None,Passed
QC-00000305,PROD-00173823,2026-01-25,EMP-00050,2389,80,Assembly,Passed
QC-00000306,PROD-00241372,2024-10-22,EMP-00482,1687,59,Material,Passed
QC-00000307,PROD-00140242,2026-01-06,EMP-00111,2125,164,None,Failed
QC-00000308,PROD-00019292,2024-10-31,EMP-00426,1793,150,None,Failed
QC-00000309,PROD-00115042,2026-05-10,EMP-00012,1917,94,Surface,Passed
QC-00000310,PROD-00014815,2025-07-02,EMP-00052,1807,7,Dimensional,Passed
QC-00000311,PROD-00238791,2026-06-17,EMP-00044,774,19,Surface,Passed
QC-00000312,PROD-00120954,2026-04-03,EMP-00300,745,3,Surface,Passed
QC-00000313,PROD-00188777,2025-04-02,EMP-00415,1569,109,None,Failed
QC-00000314,PROD-00183855,2026-04-11,EMP-00323,2525,240,None,Failed
QC-00000315,PROD-00295011,2024-10-08,EMP-00134,1090,42,Material,Passed
QC-00000316,PROD-00132272,2025-04-09,EMP-00469,2985,216,Surface,Failed
QC-00000317,PROD-00291932,2025-08-26,EMP-00327,842,77,Surface,Failed
QC-00000318,PROD-00061983,2024-12-12,EMP-00067,2526,83,None,Passed
QC-00000319,PROD-00072767,2026-01-29,EMP-00313,2532,164,Surface,Failed
QC-00000320,PROD-00089816,2024-12-31,EMP-00265,1445,14,None,Passed
QC-00000321,PROD-00043488,2026-02-27,EMP-00416,1522,6,Surface,Passed
QC-00000322,PROD-00072270,2026-03-05,EMP-00134,2847,169,Material,Failed
QC-00000323,PROD-00125697,2026-05-18,EMP-00148,1785,133,Material,Failed
QC-00000324,PROD-00228347,2026-01-28,EMP-00295,1493,45,Assembly,Passed
QC-00000325,PROD-00134519,2026-04-16,EMP-00026,2169,194,Dimensional,Failed
QC-00000326,PROD-00168985,2026-01-12,EMP-00323,2185,142,Surface,Failed
QC-00000327,PROD-00232978,2024-09-22,EMP-00494,947,90,Assembly,Failed
QC-00000328,PROD-00291146,2026-08-02,EMP-00015,932,28,None,Passed
QC-00000329,PROD-00008853,2026-01-01,EMP-00185,1634,147,Material,Failed
QC-00000330,PROD-00266883,2025-08-07,EMP-00439,2803,92,Dimensional,Passed
QC-00000331,PROD-00146227,2025-08-19,EMP-00413,2442,205,Surface,Failed
QC-00000332,PROD-00266693,2025-05-20,EMP-00230,1695,0,Surface,Passed
QC-00000333,PROD-00253196,2025-09-14,EMP-00344,2679,65,Surface,Passed
