usage_id,production_id,material_id,quantity_used,unit_cost,usage_date
USE-00000065,PROD-00285236,MAT-004,222.66,312.09,2026-08-25
USE-00000066,PROD-00237579,MAT-002,184.77,343.64,2024-11-07
USE-00000067,PROD-00021357,MAT-008,406.23,123.23,2024-11-17
USE-00000068,PROD-00250329,MAT-009,665.65,451.21,2026-05-03
USE-00000069,PROD-00115551,MAT-001,939.71,226.35,2026-01-18
USE-00000070,PROD-00017393,MAT-005,404.92,412.34,2026-08-23
USE-00000071,PROD-00296229,MAT-003,216.13,229.24,2026-02-16
USE-00000072,PROD-00118967,MAT-002,849.25,140.6,2025-04-06
USE-00000073,PROD-00225209,MAT-005,143.73,404.09,2024-11-02
USE-00000074,PROD-00050904,MAT-006,834.67,485.46,2025-02-15
USE-00000075,PROD-00007154,MAT-010,642.28,158.78,2025-10-02
USE-00000076,PROD-00140518,MAT-004,84.49,377.83,2024-10-08
USE-00000077,PROD-00147592,MAT-002,758.66,182.66,2024-12-11
USE-00000078,PROD-00045882,MAT-002,111.33,271.5,2025-09-29
USE-00000079,PROD-00196458,MAT-004,696.76,266.05,2026-03-13
USE-00000080,PROD-00008874,MAT-001,984.88,69.27,2026-07-06
USE-00000081,PROD-00246407,MAT-001,33.51,395.41,2025-09-20
USE-00000082,PROD-00133427,MAT-003,186.12,183.01,2025-11-15
USE-00000083,PROD-00209130,MAT-002,243.01,380.38,2025-02-15
USE-00000084,PROD-00047565,MAT-005,394.59,173.09,2024-09-14
USE-00000085,PROD-00067804,MAT-007,462.24,427.57,2024-12-07
USE-00000086,PROD-00172965,MAT-006,361.73,172.29,2025-11-15
USE-00000087,PROD-00081141,MAT-004,749.38,315.95,2025-05-11
USE-00000088,PROD-00247965,MAT-008,816.83,193.86,2025-12-05
USE-00000089,PROD-00026091,MAT-005,793.38,407.08,2026-05-17
USE-00000090,PROD-00063826,MAT-001,660.36,140.45,2025-07-26
USE-00000091,PROD-00140511,MAT-004,748.86,359.13,2025-05-10
USE-00000092,PROD-00222238,MAT-002,750.55,217.26,2026-01-24
USE-00000093,PROD-00068984,MAT-007,253.93,362.39,2024-10-11
USE-00000094,PROD-00035680,MAT-006,114.25,82.0,2024-09-27
USE-00000095,PROD-00274844,MAT-004,716.65,446.09,2025-02-27
USE-00000096,PROD-00094799,MAT-005,333.62,309.42,2025-11-19
USE-00000097,PROD-00296462,MAT-005,958.45,371.72,2025-09-09
USE-00000098,PROD-00186914,MAT-007,187.21,403.91,2025-05-24
USE-00000099,PROD-00101206,MAT-007,864.79,418.89,2026-02-26
USE-00000100,PROD-00225501,MAT-003,726.84,375.98,2025-11-02
USE-00000101,PROD-00237564,MAT-002,886.61,49.71,2025-03-07
USE-00000102,PROD-00252945,MAT-007,992.51,377.65,2026-05-24
USE-00000103,PROD-00028301,MAT-009,49.52,310.8,2026-07-16
USE-00000104,PROD-00031136,MAT-002,571.55,466.16,2025-03-01
USE-00000105,PROD-00048531,MAT-005,867.17,425.51,2025-07-10
USE-00000106,PROD-00294169,MAT-003,676.74,306.04,2026-01-16
USE-00000107,PROD-00232138,MAT-008,348.76,319.17,2026-05-18
USE-00000108,PROD-00159190,MAT-005,873.0,209.26,2026-03-28
USE-00000109,PROD-00249289,MAT-005,737.12,440.06,2025-08-04
USE-00000110,PROD-00178398,MAT-002,229.17,139.06,2025-10-31
USE-00000111,PROD-00123530,MAT-003,830.71,281.74,2026-05-14
USE-00000112,PROD-00183847,MAT-003,891.26,71.29,2025-05-01
USE-00000113,PROD-00200228,MAT-002,728.32,434.41,2025-12-01
USE-00000114,PROD-00287868,MAT-006,171.82,245.11,2026-07-09
USE-00000115,PROD-00007403,MAT-005,184.77,151.64,2025-03-07
USE-00000116,PROD-00008586,MAT-009,180.46,197.47,2024-12-01
USE-00000117,PROD-00117071,MAT-008,190.82,351.77,2025-04-16
USE-00000118,PROD-00164827,MAT-008,950.78,479.41,2026-03-08
USE-00000119,PROD-00084982,MAT-009,480.46,118.72,2025-07-07
USE-00000120,PROD-00109782,MAT-002,792.03,276.54,2025-01-08
USE-00000121,PROD-00117312,MAT-002,468.55,479.46,2025-08-16
USE-00000122,PROD-00199225,MAT-001,904.37,418.04,2024-12-10
USE-00000123,PROD-00033521,MAT-009,826.65,463.41,2026-04-30
USE-00000124,PROD-00089131,MAT-007,349.8,437.81,2025-02-14
USE-00000125,PROD-00253345,MAT-002,675.76,319.54,2025-07-05
USE-00000126,PROD-00127036,MAT-003,756.52,417.84,2026-03-17
USE-00000127,PROD-00178025,MAT-006,792.57,116.55,2025-05-25
USE-00000128,PROD-00200101,MAT-002,690.09,230.94,2025-02-11
USE-00000129,PROD-00076485,MAT-006,145.93,297.0,2025-12-16
USE-00000130,PROD-00050911,MAT-001,421.66,245.39,2026-03-06
USE-00000131,PROD-00095559,MAT-003,473.63,255.63,2025-09-20
USE-00000132,PROD-00213367,MAT-003,819.92,483.65,2026-08-02
USE-00000133,PROD-00264273,MAT-004,281.3,256.5,2025-03-01
USE-00000134,PROD-00263889,MAT-009,916.97,431.86,2024-09-04
USE-00000135,PROD-00251960,MAT-008,529.86,422.86,2025-10-27
USE-00000136,PROD-00128419,MAT-002,975.48,301.08,2024-09-11
USE-00000137,PROD-00231826,MAT-004,810.31,90.75,2024-10-30
USE-00000138,PROD-00032028,MAT-001,74.25,160.52,2025-05-03
USE-00000139,PROD-00006781,MAT-005,55.19,487.21,2025-04-12
USE-00000140,PROD-00016875,MAT-008,907.52,482.46,2025-05-28
USE-00000141,PROD-00129655,MAT-010,178.64,304.13,2025-12-30
USE-00000142,PROD-00135735,MAT-003,303.26,499.09,2025-05-06
USE-00000143,PROD-00106498,MAT-010,856.37,372.53,2025-07-23
USE-00000144,PROD-00093504,MAT-002,602.06,18.87,2025-09-20
USE-00000145,PROD-00250535,MAT-006,779.03,331.82,2026-04-02
USE-00000146,PROD-00281550,MAT-008,663.39,383.94,2026-03-29
USE-00000147,PROD-00100979,MAT-008,143.59,221.56,2025-05-30
USE-00000148,PROD-00132781,MAT-005,124.06,280.54,2025-11-15
USE-00000149,PROD-00240379,MAT-010,863.29,203.92,2024-12-04
USE-00000150,PROD-00151746,MAT-007,804.39,99.0,2025-08-15
USE-00000151,PROD-00025650,MAT-003,599.24,342.86,2025-12-15
USE-00000152,PROD-00106174,MAT-005,116.65,40.94,2025-07-23
USE-00000153,PROD-00005891,MAT-006,902.81,31.9,2025-08-04
USE-00000154,PROD-00137759,MAT-010,799.81,212.09,2025-10-18
USE-00000155,PROD-00095719,MAT-003,402.51,212.19,2025-04-06
USE-00000156,PROD-00162311,MAT-002,898.92,69.61,2026-03-30
USE-00000157,PROD-00206968,MAT-002,668.96,39.16,2026-07-27
USE-00000158,PROD-00034144,MAT-009,718.43,160.08,2025-08-29
USE-00000159,PROD-00270978,MAT-004,308.08,196.2,2026-04-20
USE-00000160,PROD-00275038,MAT-010,926.01,451.1,2024-11-04
USE-00000161,PROD-00278299,MAT-005,415.43,75.29,2025-10-06
USE-00000162,PROD-00156646,MAT-002,544.91,350.15,2025-04-07
USE-00000163,PROD-00004556,MAT-002,98.62,210.03,2025-01-20
USE-00000164,PROD-00141060,MAT-001,618.01,426.51,2025-09-10
USE-00000165,PROD-00072700,MAT-006,388.64,103.57,2024-09-29
USE-00000166,PROD-00222365,MAT-002,705.1,142.43,2024-09-07
USE-00000167,PROD-00090930,MAT-008,420.46,17.99,2026-07-16
USE-00000168,PROD-00195021,MAT-003,513.93,203.54,2026-08-19
USE-00000169,PROD-00256492,MAT-005,458.47,282.71,2025-09-30
USE-00000170,PROD-00064142,MAT-010,511.89,84.64,2025-03-27
USE-00000171,PROD-00155375,MAT-010,57.03,303.0,2024-11-01
USE-00000172,PROD-00212375,MAT-001,635.74,240.0,2025-11-21
USE-00000173,PROD-00088999,MAT-007,556.45,339.0,2026-05-18
USE-00000174,PROD-00108061,MAT-004,689.42,384.77,2025-11-11
USE-00000175,PROD-00154822,MAT-003,275.29,208.86,2025-03-14
USE-00000176,PROD-00115101,MAT-001,946.56,50.84,2025-04-16
USE-00000177,PROD-00197224,MAT-002,270.29,338.58,2024-11-10
USE-00000178,PROD-00053966,MAT-006,694.99,467.64,2026-01-10
USE-00000179,PROD-00143347,MAT-001,797.07,255.04,2024-10-22
USE-00000180,PROD-00175610,MAT-009,198.57,283.68,2024-11-17
USE-00000181,PROD-00010425,MAT-007,525.32,345.66,2024-12-29
USE-00000182,PROD-00132205,MAT-001,920.76,321.11,2026-06-29
USE-00000183,PROD-00247378,MAT-006,714.12,218.21,2025-07-07
USE-00000184,PROD-00123418,MAT-007,117.2,64.73,2025-11-22
USE-00000185,PROD-00099988,MAT-001,734.75,105.25,2025-10-19
USE-00000186,PROD-00034145,MAT-009,557.28,142.56,2025-10-19
USE-00000187,PROD-00147188,MAT-004,232.39,121.9,2026-02-26
USE-00000188,PROD-00028644,MAT-009,985.46,471.42,2025-05-03
USE-00000189,PROD-00288225,MAT-010,818.19,340.04,2026-08-25
USE-00000190,PROD-00245273,MAT-004,612.62,174.4,2024-10-06
USE-00000191,PROD-00125769,MAT-008,511.77,32.55,2026-01-11
USE-00000192,PROD-00024823,MAT-008,114.59,116.68,2025-09-07
USE-00000193,PROD-00059850,MAT-004,767.44,295.99,2025-11-29
USE-00000194,PROD-00237370,MAT-002,826.95,269.97,2026-02-22
USE-00000195,PROD-00032410,MAT-009,762.19,150.71,2025-09-12
USE-00000196,PROD-00086789,MAT-001,46.83,258.44,2026-06-15
USE-00000197,PROD-00020382,MAT-004,978.46,448.98,2025-11-07
USE-00000198,PROD-00259215,MAT-007,472.18,397.96,2025-01-11
USE-00000199,PROD-00149181,MAT-007,298.96,74.84,2025-10-03
USE-00000200,PROD-00249871,MAT-009,802.81,202.56,2024-10-10
USE-00000201,PROD-00197124,MAT-010,780.45,440.96,2026-06-10
USE-00000202,PROD-00192958,MAT-008,239.19,276.07,2025-06-14
USE-00000203,PROD-00092874,MAT-005,527.98,69.68,2024-11-10
USE-00000204,PROD-00209906,MAT-008,624.12,448.06,2025-10-07
USE-00000205,PROD-00169019,MAT-003,643.76,245.73,2025-08-01
USE-00000206,PROD-00125379,MAT-001,482.73,82.22,2025-09-06
USE-00000207,PROD-00070330,MAT-009,208.16,272.86,2025-08-27
USE-00000208,PROD-00074182,MAT-005,358.34,249.4,2026-05-21
USE-00000209,PROD-00011454,MAT-002,694.45,150.02,2025-03-11
USE-00000210,PROD-00108071,MAT-002,422.64,40.58,2025-01-07
USE-00000211,PROD-00259686,MAT-005,354.65,136.44,2026-04-08
USE-00000212,PROD-00057321,MAT-005,128.31,353.1,2026-01-01
USE-00000213,PROD-00098249,MAT-010,333.82,372.12,2026-05-26
USE-00000214,PROD-00047826,MAT-005,317.32,365.2,2024-11-12
USE-00000215,PROD-00012961,MAT-005,182.78,169.11,2025-01-07
USE-00000216,PROD-00154003,MAT-003,392.69,338.21,2025-07-15
USE-00000217,PROD-00128016,MAT-001,675.07,43.16,2024-09-17
USE-00000218,PROD-00050314,MAT-007,30.74,403.24,2025-12-29
USE-00000219,PROD-00123492,MAT-010,250.91,183.29,2025-03-17
USE-00000220,PROD-00256653,MAT-006,681.11,364.86,2025-12-20
USE-00000221,PROD-00218098,MAT-001,344.0,107.56,2025-03-20
USE-00000222,PROD-00130887,MAT-001,475.03,142.72,2025-11-10
USE-00000223,PROD-00019515,MAT-009,530.85,248.67,2026-02-28
USE-00000224,PROD-00247017,MAT-008,816.1,187.31,2025-03-24
USE-00000225,PROD-00297611,MAT-009,860.95,419.62,2025-05-06
USE-00000226,PROD-00295412,MAT-002,636.37,494.95,2026-01-04
USE-00000227,PROD-00024591,MAT-008,985.33,428.76,2026-04-15
USE-00000228,PROD-00291184,MAT-001,747.0,348.32,2026-05-16
USE-00000229,PROD-00024966,MAT-003,691.31,158.84,2025-11-26
USE-00000230,PROD-00196023,MAT-003,785.79,283.96,2026-01-09
USE-00000231,PROD-00205230,MAT-005,69.66,319.46,2024-09-09
USE-00000232,PROD-00163590,MAT-001,447.01,83.95,2025-01-26
USE-00000233,PROD-00079435,MAT-008,775.64,145.46,2025-02-10
USE-00000234,PROD-00000034,MAT-001,554.24,34.32,2026-03-19
USE-00000235,PROD-00018724,MAT-001,116.62,275.2,2025-02-23
USE-00000236,PROD-00129595,MAT-008,706.8,281.53,2026-02-17
USE-00000237,PROD-00074602,MAT-010,876.41,41.75,2024-09-08
USE-00000238,PROD-00125099,MAT-009,24.11,89.77,2024-09-03
USE-00000239,PROD-00034949,MAT-005,721.79,155.61,2026-02-23
USE-00000240,PROD-00170841,MAT-005,517.98,326.14,2025-05-25
USE-00000241,PROD-00139565,MAT-002,375.84,429.65,2025-03-01
USE-00000242,PROD-00062095,MAT-006,922.86,460.76,2025-01-30
USE-00000243,PROD-00209060,MAT-002,106.23,258.7,2024-10-23
USE-00000244,PROD-00223270,MAT-010,270.17,488.23,2026-05-20
USE-00000245,PROD-00203686,MAT-003,586.52,341.53,2024-09-19
USE-00000246,PROD-00084795,MAT-008,73.31,360.05,2024-10-27
USE-00000247,PROD-00013847,MAT-003,805.96,34.21,2026-02-28
USE-00000248,PROD-00071977,MAT-008,894.13,203.88,2025-01-06
USE-00000249,PROD-00117588,MAT-003,822.12,274.79,2026-04-27
USE-00000250,PROD-00169337,MAT-003,554.39,245.4,2025-10-14
USE-00000251,PROD-00266791,MAT-007,919.44,306.12,2025-05-27
USE-00000252,PROD-00111312,MAT-001,904.44,399.55,2026-04-18
USE-00000253,PROD-00247266,MAT-005,516.49,76.56,2025-09-16
USE-00000254,PROD-00229899,MAT-004,64.78,212.83,2026-05-25
USE-00000255,PROD-00249329,MAT-002,259.96,203.09,2024-10-28
USE-00000256,PROD-00213483,MAT-004,289.79,230.83,2025-12-10
USE-00000257,PROD-00275179,MAT-006,751.27,394.34,2024-11-03
USE-00000258,PROD-00159564,MAT-002,430.39,48.44,2026-05-09
USE-00000259,PROD-00162228,MAT-001,658.31,325.84,2024-10-15
USE-00000260,PROD-00167793,MAT-010,618.85,208.3,2026-01-15
USE-00000261,PROD-00089904,MAT-002,779.02,283.43,2026-03-13
USE-00000262,PROD-00299563,MAT-004,697.59,293.11,2025-05-02
USE-00000263,PROD-00208467,MAT-001,723.36,332.42,2026-03-03
USE-00000264,PROD-00245532,MAT-007,806.51,143.11,2024-11-10
USE-00000265,PROD-00180072,MAT-003,669.95,236.79,2026-07-29
USE-00000266,PROD-00275035,MAT-002,816.56,26.81,2026-08-25
USE-00000267,PROD-00215817,MAT-009,249.07,219.22,2026-03-15
USE-00000268,PROD-00045164,MAT-004,860.79,412.07,2026-07-20
USE-00000269,PROD-00068410,MAT-004,265.69,489.11,2025-06-21
USE-00000270,PROD-00216858,MAT-008,475.5,14.99,2024-09-19
USE-00000271,PROD-00132433,MAT-001,983.59,132.14,2025-03-30
USE-00000272,PROD-00196358,MAT-005,273.56,179.18,2025-12-21
USE-00000273,PROD-00024693,MAT-006,282.35,66.12,2024-10-07
USE-00000274,PROD-00212447,MAT-002,686.19,134.53,2026-05-12
USE-00000275,PROD-00100889,MAT-010,973.1,446.74,2024-12-11
USE-00000276,PROD-00071380,MAT-005,261.78,321.85,2025-02-18
USE-00000277,PROD-00039636,MAT-001,135.43,268.47,2025-03-20
USE-00000278,PROD-00074001,MAT-004,83.79,329.1,2025-01-29
USE-00000279,PROD-00292946,MAT-003,373.27,79.86,2025-03-06
USE-00000280,PROD-00290831,MAT-008,974.0,185.5,2024-10-10
USE-00000281,PROD-00123800,MAT-005,797.48,32.45,2025-06-23
USE-00000282,PROD-00174673,MAT-002,18.96,175.19,2025-05-21
USE-00000283,PROD-00151637,MAT-003,125.32,406.57,2025-09-03
USE-00000284,PROD-00190483,MAT-008,947.02,100.83,2024-12-18
USE-00000285,PROD-00275824,MAT-008,451.64,413.83,2026-07-20
USE-00000286,PROD-00019268,MAT-010,299.75,104.76,2025-09-09
USE-00000287,PROD-00183972,MAT-006,766.3,446.14,2024-10-31
USE-00000288,PROD-00289119,MAT-010,784.48,334.93,2026-06-07
USE-00000289,PROD-00066546,MAT-005,27.92,396.94,2025-03-05
USE-00000290,PROD-00117342,MAT-003,690.99,324.62,2025-01-25
USE-00000291,PROD-00222932,MAT-003,77.51,387.73,2025-01-14
USE-00000292,PROD-00014455,MAT-009,791.62,386.92,2025-08-27
USE-00000293,PROD-00084292,MAT-003,657.69,318.35,2024-10-01
USE-00000294,PROD-00195820,MAT-007,781.32,71.07,2025-10-17
USE-00000295,PROD-00230502,MAT-002,603.09,311.4,2026-04-09
USE-00000296,PROD-00281941,MAT-004,472.12,137.93,2024-09-07
USE-00000297,PROD-00065497,MAT-003,839.37,307.6,2025-07-19
USE-00000298,PROD-00253745,MAT-008,522.94,75.72,2025-07-13
USE-00000299,PROD-00239007,MAT-010,579.12,379.74,2024-10-23
USE-00000300,PROD-00035613,MAT-001,642.59,78.46,2025-06-02
USE-00000301,PROD-00115935,MAT-004,568.81,485.04,2025-07-10
USE-00000302,PROD-00168966,MAT-002,836.32,454.82,2025-05-11
USE-00000303,PROD-00023581,MAT-006,190.45,179.77,2025-09-30
USE-00000304,PROD-00084288,MAT-007,50.55,37.88,2025-08-13
USE-00000305,PROD-00009337,MAT-002,28.28,419.44,2024-10-31
USE-00000306,PROD-00266983,MAT-001,581.69,303.41,2026-08-09
USE-00000307,PROD-00253595,MAT-002,440.25,140.41,2025-10-17
USE-00000308,PROD-00061393,MAT-009,324.49,51.68,2025-06-30
USE-00000309,PROD-00071670,MAT-006,370.09,359.68,2025-06-10
USE-00000310,PROD-00123433,MAT-010,124.82,364.12,2025-03-25
USE-00000311,PROD-00114717,MAT-008,554.24,141.68,2025-08-02
USE-00000312,PROD-00067272,MAT-010,253.13,142.84,2024-12-01
USE-00000313,PROD-00115227,MAT-010,639.19,392.97,2025-05-14
USE-00000314,PROD-00050607,MAT-006,174.26,247.94,2024-09-22
USE-00000315,PROD-00104816,MAT-004,206.38,362.37,2026-08-02
USE-00000316,PROD-00018012,MAT-003,48.05,102.88,2025-01-15
USE-00000317,PROD-00094374,MAT-008,994.12,407.4,2026-03-19
USE-00000318,PROD-00090083,MAT-002,760.74,322.71,2025-02-23
USE-00000319,PROD-00288020,MAT-010,424.61,160.83,2024-09-08
USE-00000320,PROD-00024288,MAT-009,266.1,396.32,2026-01-02
USE-00000321,PROD-00223456,MAT-002,15.77,457.56,2026-05-15
USE-00000322,PROD-00215046,MAT-005,248.08,365.49,2026-06-08
USE-00000323,PROD-00011348,MAT-005,801.98,451.42,2025-07-29
USE-00000324,PROD-00059421,MAT-010,742.19,270.61,2026-02-16
USE-00000325,PROD-00007052,MAT-007,685.17,18.48,2025-07-06
USE-00000326,PROD-00255072,MAT-006,438.8,39.65,2026-01-26
USE-00000327,PROD-00097667,MAT-010,766.72,479.99,2025-11-29
USE-00000328,PROD-00237384,MAT-003,185.12,237.28,2025-04-12
USE-00000329,PROD-00003145,MAT-006,945.16,26.23,2025-12-06
USE-00000330,PROD-00049373,MAT-001,103.14,335.26,2025-01-28
USE-00000331,PROD-00099941,MAT-003,208.26,81.96,2024-08-30
USE-00000332,PROD-00003479,MAT-008,279.24,332.72,2024-10-19
USE-00000333,PROD-00008368,MAT-005,948.09,396.51,2025-06-23
USE-00000334,PROD-00219225,MAT-004,443.42,463.86,2025-05-26
USE-00000335,PROD-00180866,MAT-007,65.54,438.46,2026-04-18
USE-00000336,PROD-00027996,MAT-002,691.4,142.89,2026-07-02
USE-00000337,PROD-00231569,MAT-009,406.19,450.13,2024-09-18
USE-00000338,PROD-00288205,MAT-005,590.84,262.11,2024-12-09
USE-00000339,PROD-00095888,MAT-007,459.44,210.13,2026-06-28
USE-00000340,PROD-00229624,MAT-001,242.68,33.93,2025-03-17
USE-00000341,PROD-00116464,MAT-006,555.72,406.67,2025-01-17
USE-00000342,PROD-00126432,MAT-006,990.66,499.88,2025-05-28
USE-00000343,PROD-00089755,MAT-009,772.75,339.16,2025-01-01
USE-00000344,PROD-00294382,MAT-007,237.42,470.93,2026-07-29
USE-00000345,PROD-00012801,MAT-002,652.14,443.51,2024-12-08
USE-00000346,PROD-00006441,MAT-001,944.92,358.54,2026-07-22
USE-00000347,PROD-00169775,MAT-008,496.71,35.12,2024-10-29
USE-00000348,PROD-00044915,MAT-005,32.06,51.99,2026-08-20
USE-00000349,PROD-00107395,MAT-003,925.65,301.81,2025-03-01
USE-00000350,PROD-00007508,MAT-004,515.46,474.06,2026-05-23
USE-00000351,PROD-00021827,MAT-010,498.01,360.93,2026-05-01
USE-00000352,PROD-00229018,MAT-002,466.37,498.31,2024-11-17
USE-00000353,PROD-00272449,MAT-006,343.0,392.89,2025-08-18
USE-00000354,PROD-00171566,MAT-006,687.55,58.24,2025-07-04
USE-00000355,PROD-00283249,MAT-001,150.3,392.92,2025-06-28
USE-00000356,PROD-00276841,MAT-004,197.3,151.9,2024-12-20
USE-00000357,PROD-00231979,MAT-004,962.49,372.35,2025-12-22
USE-00000358,PROD-00179407,MAT-010,788.96,311.12,2025-11-09
USE-00000359,PROD-00003835,MAT-010,325.93,449.98,2025-11-03
USE-00000360,PROD-00174240,MAT-008,906.65,254.08,2024-09-22
USE-00000361,PROD-00119921,MAT-001,330.63,178.42,2026-03-23
USE-00000362,PROD-00064897,MAT-008,86.3,129.9,2026-07-20
USE-00000363,PROD-00021925,MAT-004,289.72,17.6,2025-08-12
USE-00000364,PROD-00221785,MAT-004,539.56,295.54,2025-04-29
USE-00000365,PROD-00181100,MAT-008,256.33,401.6,2024-11-14
USE-00000366,PROD-00290183,MAT-010,704.42,153.02,2026-08-16
USE-00000367,PROD-00082943,MAT-006,626.51,433.28,2025-03-09
USE-00000368,PROD-00133676,MAT-001,371.95,268.98,2026-02-26
USE-00000369,PROD-00133442,MAT-009,464.43,379.49,2026-06-28
USE-00000370,PROD-00002125,MAT-007,784.84,148.33,2026-03-14
USE-00000371,PROD-00006474,MAT-008,190.57,182.92,2024-11-17
USE-00000372,PROD-00241900,MAT-002,677.61,276.98,2025-08-23
USE-00000373,PROD-00276374,MAT-001,304.33,413.38,2025-12-28
USE-00000374,PROD-00131728,MAT-003,869.77,156.92,2024-10-08
USE-00000375,PROD-00196735,MAT-007,959.77,245.27,2025-07-25
USE-00000376,PROD-00045756,MAT-005,494.69,469.68,2025-06-01
USE-00000377,PROD-00265714,MAT-005,254.38,81.47,2025-05-25
USE-00000378,PROD-00139964,MAT-009,356.62,412.25,2025-09-25
USE-00000379,PROD-00178175,MAT-006,92.56,71.06,2025-12-05
USE-00000380,PROD-00294421,MAT-003,617.54,453.47,2026-06-27
USE-00000381,PROD-00043976,MAT-004,202.71,232.37,2025-07-14
USE-00000382,PROD-00024467,MAT-005,75.53,140.17,2024-08-30
USE-00000383,PROD-00128218,MAT-005,56.53,214.14,2026-04-12
USE-00000384,PROD-00045199,MAT-005,273.93,210.62,2025-08-23
USE-00000385,PROD-00272399,MAT-008,860.61,190.81,2026-02-24
USE-00000386,PROD-00257101,MAT-004,564.32,335.06,2026-08-08
USE-00000387,PROD-00025494,MAT-003,732.71,342.41,2025-04-11
