movement_id,movement_date,material_id,warehouse,movement_type,quantity
INV-00000124,2024-12-26,MAT-008,WH-001,Purchase,511
INV-00000125,2025-09-29,MAT-010,WH-002,Purchase,2228
INV-00000126,2025-02-18,MAT-004,WH-003,Production Consumption,1904
INV-00000127,2025-12-08,MAT-010,WH-001,Production Consumption,3878
INV-00000128,2026-05-25,MAT-001,WH-003,Return,1865
INV-00000129,2025-09-10,MAT-003,WH-002,Return,2297
INV-00000130,2025-02-24,MAT-007,WH-003,Sales,2686
INV-00000131,2026-07-24,MAT-002,WH-002,Adjustment,3140
INV-00000132,2025-04-11,MAT-009,WH-003,Sales,2332
INV-00000133,2025-07-23,MAT-005,WH-002,Production Consumption,2661
INV-00000134,2025-12-25,MAT-010,WH-001,Return,1612
INV-00000135,2024-11-16,MAT-005,WH-002,Production Consumption,3170
INV-00000136,2026-03-14,MAT-010,WH-001,Sales,590
INV-00000137,2025-04-25,MAT-004,WH-001,Production Consumption,2630
INV-00000138,2025-08-19,MAT-002,WH-003,Production Consumption,1314
INV-00000139,2025-03-22,MAT-003,WH-001,Adjustment,3973
INV-00000140,2024-11-15,MAT-002,WH-002,Sales,3568
INV-00000141,2025-07-06,MAT-008,WH-001,Return,2954
INV-00000142,2026-06-28,MAT-004,WH-001,Production Consumption,2424
INV-00000143,2026-02-10,MAT-002,WH-002,Sales,2989
INV-00000144,2025-05-21,MAT-003,WH-003,Adjustment,4100
INV-00000145,2025-01-29,MAT-008,WH-003,Production Consumption,4348
INV-00000146,2024-11-07,MAT-006,WH-001,Sales,3699
INV-00000147,2025-02-13,MAT-010,WH-002,Return,3129
INV-00000148,2025-07-21,MAT-009,WH-002,Adjustment,3108
INV-00000149,2026-04-01,MAT-008,WH-003,Production Consumption,2861
INV-00000150,2025-12-11,MAT-008,WH-003,Sales,386
INV-00000151,2025-05-07,MAT-003,WH-003,Return,955
INV-00000152,2026-01-18,MAT-002,WH-001,Purchase,2329
INV-00000153,2025-07-21,MAT-001,WH-003,Return,1683
INV-00000154,2025-09-04,MAT-002,WH-003,Adjustment,1876
INV-00000155,2025-01-19,MAT-010,WH-001,Sales,1803
INV-00000156,2025-02-20,MAT-008,WH-002,Sales,4042
INV-00000157,2024-08-30,MAT-003,WH-003,Adjustment,916
INV-00000158,2026-07-10,MAT-004,WH-001,Production Consumption,2549
INV-00000159,2025-09-19,MAT-010,WH-003,Purchase,1853
INV-00000160,2025-02-08,MAT-004,WH-003,Sales,4266
INV-00000161,2026-02-04,MAT-008,WH-001,Production Consumption,2364
INV-00000162,2025-12-07,MAT-010,WH-002,Return,233
INV-00000163,2025-01-04,MAT-005,WH-002,Adjustment,1077
INV-00000164,2025-10-20,MAT-003,WH-002,Return,2526
INV-00000165,2026-08-10,MAT-010,WH-003,Sales,4442
INV-00000166,2026-03-29,MAT-003,WH-001,Purchase,738
INV-00000167,2024-10-24,MAT-007,WH-001,Adjustment,2138
INV-00000168,2026-06-06,MAT-002,WH-001,Return,386
INV-00000169,2026-06-16,MAT-006,WH-003,Adjustment,2981
INV-00000170,2025-08-05,MAT-001,WH-001,Return,4993
INV-00000171,2025-02-18,MAT-007,WH-003,Production Consumption,4655
INV-00000172,2026-06-10,MAT-006,WH-001,Purchase,1235
INV-00000173,2025-11-01,MAT-007,WH-003,Purchase,4874
INV-00000174,2024-09-14,MAT-003,WH-003,Purchase,4755
INV-00000175,2025-02-09,MAT-004,WH-003,Sales,2996
INV-00000176,2026-06-13,MAT-002,WH-002,Sales,534
INV-00000177,2026-01-08,MAT-003,WH-001,Purchase,71
INV-00000178,2026-01-19,MAT-006,WH-001,Production Consumption,2434
INV-00000179,2025-01-15,MAT-006,WH-001,Purchase,1382
INV-00000180,2025-06-30,MAT-007,WH-003,Return,2062
INV-00000181,2026-08-24,MAT-004,WH-001,Purchase,1342
INV-00000182,2025-09-14,MAT-010,WH-001,Purchase,611
INV-00000183,2026-06-07,MAT-007,WH-001,Adjustment,4854
INV-00000184,2025-05-23,MAT-006,WH-003,Purchase,217
INV-00000185,2026-02-13,MAT-005,WH-002,Return,2247
INV-00000186,2025-08-18,MAT-009,WH-002,Purchase,3361
INV-00000187,2025-06-02,MAT-004,WH-002,Adjustment,3976
INV-00000188,2024-10-08,MAT-010,WH-001,Sales,4931
INV-00000189,2026-04-23,MAT-005,WH-001,Sales,1461
INV-00000190,2025-06-08,MAT-005,WH-001,Return,4416
INV-00000191,2025-02-14,MAT-002,WH-001,Adjustment,4422
INV-00000192,2025-04-17,MAT-003,WH-003,Return,277
INV-00000193,2025-12-04,MAT-008,WH-002,Return,3995
INV-00000194,2024-12-27,MAT-008,WH-002,Adjustment,2336
INV-00000195,2025-05-15,MAT-008,WH-002,Adjustment,4854
INV-00000196,2025-05-14,MAT-008,WH-001,Purchase,4375
INV-00000197,2026-05-08,MAT-005,WH-003,Return,1590
INV-00000198,2026-02-13,MAT-001,WH-001,Adjustment,348
INV-00000199,2026-03-16,MAT-005,WH-001,Sales,1878
INV-00000200,2026-08-21,MAT-002,WH-003,Adjustment,4459
INV-00000201,2025-09-06,MAT-007,WH-001,Production Consumption,4431
INV-00000202,2024-12-17,MAT-004,WH-001,Sales,231
INV-00000203,2025-10-28,MAT-010,WH-001,Purchase,3242
INV-00000204,2026-07-27,MAT-004,WH-003,Purchase,1784
INV-00000205,2026-08-03,MAT-003,WH-002,Adjustment,1793
INV-00000206,2024-09-17,MAT-009,WH-002,Sales,3303
INV-00000207,2024-09-14,MAT-007,WH-003,Production Consumption,4692
INV-00000208,2025-02-24,MAT-002,WH-001,Sales,4305
INV-00000209,2025-12-20,MAT-001,WH-003,Purchase,3920
INV-00000210,2025-04-04,MAT-004,WH-003,Adjustment,294
INV-00000211,2026-06-12,MAT-003,WH-001,Return,3293
INV-00000212,2025-02-24,MAT-008,WH-003,Production Consumption,3257
INV-00000213,2025-05-27,MAT-005,WH-001,Return,3221
INV-00000214,2025-12-28,MAT-007,WH-003,Adjustment,2140
INV-00000215,2024-08-25,MAT-009,WH-003,Purchase,2443
INV-00000216,2026-04-07,MAT-005,WH-001,Purchase,4168
INV-00000217,2026-06-11,MAT-002,WH-003,Production Consumption,3238
INV-00000218,2025-09-24,MAT-002,WH-003,Sales,835
INV-00000219,2026-02-04,MAT-005,WH-003,Purchase,1761
INV-00000220,2024-12-30,MAT-007,WH-003,Adjustment,3303
INV-00000221,2025-05-10,MAT-006,WH-001,Adjustment,1136
INV-00000222,2024-09-03,MAT-001,WH-001,Adjustment,4362
INV-00000223,2025-07-09,MAT-005,WH-003,Sales,4744
INV-00000224,2025-10-02,MAT-008,WH-002,Adjustment,4760
INV-00000225,2024-09-11,MAT-006,WH-002,Purchase,886
INV-00000226,2025-06-25,MAT-007,WH-001,Sales,1720
INV-00000227,2026-05-23,MAT-004,WH-001,Sales,4385
INV-00000228,2025-12-29,MAT-006,WH-001,Return,3816
INV-00000229,2025-11-22,MAT-009,WH-002,Adjustment,2626
INV-00000230,2026-03-28,MAT-002,WH-001,Purchase,4127
INV-00000231,2025-12-04,MAT-004,WH-003,Return,3790
INV-00000232,2025-02-18,MAT-008,WH-003,Purchase,2446
INV-00000233,2024-10-22,MAT-010,WH-001,Sales,3486
INV-00000234,2025-05-04,MAT-006,WH-001,Sales,2872
INV-00000235,2025-04-22,MAT-004,WH-002,Purchase,3269
INV-00000236,2025-01-20,MAT-010,WH-003,Production Consumption,2881
INV-00000237,2026-06-25,MAT-004,WH-003,Adjustment,2740
INV-00000238,2024-10-18,MAT-002,WH-002,Adjustment,3409
INV-00000239,2024-10-21,MAT-007,WH-002,Sales,3435
INV-00000240,2026-07-23,MAT-009,WH-003,Return,1785
INV-00000241,2026-08-01,MAT-002,WH-001,Sales,882
INV-00000242,2025-06-20,MAT-007,WH-003,Return,3110
INV-00000243,2026-05-02,MAT-010,WH-001,Purchase,2352
INV-00000244,2025-06-09,MAT-006,WH-002,Sales,4713
INV-00000245,2024-10-14,MAT-010,WH-001,Adjustment,4386
INV-00000246,2026-04-05,MAT-001,WH-001,Adjustment,2616
INV-00000247,2025-09-01,MAT-010,WH-002,Production Consumption,410
INV-00000248,2025-11-13,MAT-005,WH-002,Production Consumption,2759
INV-00000249,2024-09-07,MAT-001,WH-003,Adjustment,1775
INV-00000250,2026-02-22,MAT-007,WH-001,Purchase,1438
INV-00000251,2025-07-04,MAT-006,WH-003,Return,522
INV-00000252,2025-04-10,MAT-010,WH-003,Return,2887
INV-00000253,2025-01-02,MAT-004,WH-002,Adjustment,3032
INV-00000254,2026-02-14,MAT-005,WH-001,Sales,4204
INV-00000255,2026-04-14,MAT-007,WH-003,Production Consumption,1697
INV-00000256,2026-01-17,MAT-006,WH-002,Purchase,4932
INV-00000257,2025-01-05,MAT-005,WH-002,Return,4350
INV-00000258,2025-08-14,MAT-002,WH-001,Purchase,4800
INV-00000259,2025-04-13,MAT-005,WH-002,Production Consumption,435
INV-00000260,2025-10-16,MAT-004,WH-003,Adjustment,2299
INV-00000261,2025-01-27,MAT-006,WH-003,Production Consumption,3290
INV-00000262,2026-07-18,MAT-009,WH-001,Adjustment,4856
INV-00000263,2025-07-02,MAT-001,WH-002,Production Consumption,1054
INV-00000264,2025-10-11,MAT-008,WH-003,Production Consumption,1004
INV-00000265,2025-03-21,MAT-006,WH-001,Sales,1089
INV-00000266,2024-09-22,MAT-002,WH-002,Purchase,458
INV-00000267,2026-04-06,MAT-009,WH-003,Sales,3981
INV-00000268,2024-12-15,MAT-004,WH-001,Return,4710
INV-00000269,2026-08-14,MAT-009,WH-001,Sales,2692
INV-00000270,2025-02-06,MAT-010,WH-001,Sales,4585
INV-00000271,2025-03-18,MAT-009,WH-003,Purchase,1663
INV-00000272,2024-11-03,MAT-004,WH-002,Production Consumption,777
INV-00000273,2026-06-05,MAT-009,WH-002,Return,3883
INV-00000274,2026-05-31,MAT-003,WH-002,Sales,4498
INV-00000275,2026-08-07,MAT-006,WH-003,Production Consumption,1731
INV-00000276,2026-04-26,MAT-003,WH-003,Purchase,214
INV-00000277,2026-06-26,MAT-009,WH-003,Adjustment,4021
INV-00000278,2026-02-01,MAT-006,WH-002,Sales,3641
INV-00000279,2025-09-07,MAT-005,WH-003,Adjustment,913
INV-00000280,2024-10-31,MAT-005,WH-001,Return,2685
INV-00000281,2025-09-16,MAT-004,WH-001,Return,2341
INV-00000282,2026-06-17,MAT-009,WH-002,Production Consumption,4286
INV-00000283,2025-05-12,MAT-005,WH-003,Purchase,2933
INV-00000284,2024-08-28,MAT-003,WH-001,Purchase,1430
INV-00000285,2026-01-28,MAT-002,WH-003,Purchase,748
INV-00000286,2026-02-12,MAT-005,WH-001,Return,1319
INV-00000287,2024-10-16,MAT-001,WH-002,Production Consumption,3841
INV-00000288,2026-02-20,MAT-009,WH-003,Sales,1035
INV-00000289,2026-03-12,MAT-001,WH-003,Adjustment,2498
INV-00000290,2026-05-10,MAT-001,WH-001,Return,535
INV-00000291,2025-01-12,MAT-006,WH-002,Production Consumption,1749
INV-00000292,2025-03-16,MAT-002,WH-002,Purchase,602
INV-00000293,2024-09-06,MAT-002,WH-002,Sales,1548
INV-00000294,2025-03-11,MAT-004,WH-001,Sales,853
INV-00000295,2026-01-22,MAT-003,WH-002,Purchase,823
INV-00000296,2025-10-17,MAT-008,WH-003,Return,1941
INV-00000297,2024-12-12,MAT-003,WH-002,Production Consumption,2015
INV-00000298,2025-07-28,MAT-001,WH-002,Purchase,2627
INV-00000299,2025-04-11,MAT-009,WH-001,Adjustment,503
INV-00000300,2025-11-23,MAT-001,WH-002,Production Consumption,2686
INV-00000301,2026-04-11,MAT-010,WH-003,Purchase,3172
INV-00000302,2025-07-18,MAT-002,WH-001,Return,969
INV-00000303,2025-11-11,MAT-010,WH-001,Return,4936
INV-00000304,2024-10-27,MAT-009,WH-002,Adjustment,1907
INV-00000305,2026-07-24,MAT-005,WH-001,Production Consumption,1176
INV-00000306,2025-08-17,MAT-003,WH-003,Adjustment,1051
INV-00000307,2024-10-27,MAT-009,WH-002,Sales,61
INV-00000308,2024-10-26,MAT-010,WH-001,Purchase,788
INV-00000309,2025-03-22,MAT-009,WH-002,Return,1125
INV-00000310,2025-07-04,MAT-007,WH-002,Sales,1430
INV-00000311,2026-05-17,MAT-003,WH-002,Purchase,1275
INV-00000312,2026-03-12,MAT-001,WH-001,Return,1379
INV-00000313,2024-10-08,MAT-001,WH-003,Sales,4626
INV-00000314,2025-01-22,MAT-006,WH-002,Production Consumption,4135
INV-00000315,2026-08-15,MAT-001,WH-003,Sales,3636
INV-00000316,2025-11-16,MAT-003,WH-001,Return,135
INV-00000317,2026-08-25,MAT-008,WH-002,Return,3548
INV-00000318,2024-10-19,MAT-002,WH-003,Sales,1673
INV-00000319,2024-10-19,MAT-002,WH-001,Sales,2682
INV-00000320,2024-12-11,MAT-001,WH-002,Adjustment,4475
INV-00000321,2025-08-04,MAT-006,WH-002,Sales,984
INV-00000322,2024-12-28,MAT-007,WH-001,Adjustment,740
INV-00000323,2025-11-28,MAT-010,WH-001,Adjustment,1825
INV-00000324,2025-10-14,MAT-001,WH-002,Purchase,3995
INV-00000325,2025-04-13,MAT-003,WH-002,Adjustment,4478
INV-00000326,2026-02-06,MAT-007,WH-002,Adjustment,3400
INV-00000327,2025-05-03,MAT-003,WH-003,Return,570
INV-00000328,2025-02-04,MAT-006,WH-001,Return,85
INV-00000329,2025-09-27,MAT-003,WH-001,Adjustment,4168
INV-00000330,2024-08-28,MAT-006,WH-002,Return,3630
INV-00000331,2025-06-11,MAT-010,WH-003,Return,2201
INV-00000332,2024-10-27,MAT-002,WH-002,Adjustment,3896
INV-00000333,2026-04-16,MAT-006,WH-001,Production Consumption,3185
INV-00000334,2026-05-09,MAT-006,WH-003,Return,3598
INV-00000335,2025-12-15,MAT-006,WH-002,Purchase,893
INV-00000336,2026-02-01,MAT-008,WH-001,Sales,4279
INV-00000337,2025-10-04,MAT-003,WH-003,Production Consumption,4558
INV-00000338,2026-03-16,MAT-008,WH-002,Production Consumption,4879
INV-00000339,2026-01-12,MAT-003,WH-001,Return,313
INV-00000340,2024-09-13,MAT-006,WH-003,Production Consumption,2414
INV-00000341,2025-06-20,MAT-007,WH-001,Sales,2941
INV-00000342,2026-01-13,MAT-008,WH-002,Production Consumption,330
INV-00000343,2025-11-18,MAT-009,WH-001,Adjustment,108
INV-00000344,2026-02-28,MAT-003,WH-003,Sales,1501
INV-00000345,2025-04-20,MAT-001,WH-003,Return,1131
INV-00000346,2025-11-10,MAT-001,WH-002,Return,1475
INV-00000347,2026-04-10,MAT-010,WH-003,Adjustment,4308
INV-00000348,2024-12-15,MAT-009,WH-001,Production Consumption,2923
INV-00000349,2026-01-25,MAT-001,WH-003,Purchase,4386
INV-00000350,2025-05-19,MAT-005,WH-003,Return,3344
INV-00000351,2026-03-31,MAT-001,WH-002,Purchase,363
INV-00000352,2025-12-19,MAT-007,WH-002,Sales,3771
INV-00000353,2025-08-23,MAT-006,WH-001,Return,790
INV-00000354,2025-11-13,MAT-003,WH-001,Adjustment,4578
INV-00000355,2025-02-06,MAT-009,WH-001,Production Consumption,4229
INV-00000356,2025-09-30,MAT-006,WH-001,Return,2466
INV-00000357,2025-11-14,MAT-010,WH-002,Adjustment,4954
INV-00000358,2025-06-04,MAT-002,WH-003,Return,3001
INV-00000359,2024-12-27,MAT-005,WH-003,Adjustment,1727
INV-00000360,2024-11-23,MAT-009,WH-002,Adjustment,2166
INV-00000361,2026-06-17,MAT-003,WH-003,Adjustment,4870
INV-00000362,2025-01-24,MAT-008,WH-001,Production Consumption,2731
INV-00000363,2025-10-01,MAT-010,WH-003,Adjustment,3360
INV-00000364,2026-06-17,MAT-006,WH-002,Sales,4081
INV-00000365,2026-04-01,MAT-002,WH-003,Return,4489
INV-00000366,2026-05-28,MAT-001,WH-003,Purchase,3753
INV-00000367,2025-10-20,MAT-002,WH-001,Purchase,4355
INV-00000368,2025-11-29,MAT-001,WH-003,Adjustment,828
INV-00000369,2024-11-20,MAT-006,WH-002,Return,1566
INV-00000370,2026-06-15,MAT-003,WH-001,Return,4239
INV-00000371,2025-07-04,MAT-001,WH-002,Production Consumption,3134
INV-00000372,2025-12-23,MAT-010,WH-001,Sales,4483
INV-00000373,2025-12-28,MAT-009,WH-001,Sales,4979
INV-00000374,2025-06-10,MAT-001,WH-003,Return,2279
INV-00000375,2025-02-15,MAT-008,WH-001,Adjustment,3651
INV-00000376,2025-11-26,MAT-001,WH-003,Purchase,1064
INV-00000377,2024-10-10,MAT-002,WH-003,Sales,2077
INV-00000378,2025-10-08,MAT-009,WH-003,Return,2326
INV-00000379,2025-12-01,MAT-002,WH-002,Adjustment,1935
INV-00000380,2026-01-30,MAT-003,WH-001,Purchase,3935
INV-00000381,2025-07-31,MAT-009,WH-002,Sales,4761
INV-00000382,2026-04-12,MAT-006,WH-003,Sales,1655
INV-00000383,2025-11-13,MAT-006,WH-003,Purchase,3993
INV-00000384,2026-01-30,MAT-003,WH-003,Purchase,2760
INV-00000385,2025-07-29,MAT-003,WH-001,Purchase,780
INV-00000386,2026-07-24,MAT-007,WH-003,Return,3186
INV-00000387,2025-06-17,MAT-008,WH-003,Purchase,3918
INV-00000388,2024-12-16,MAT-006,WH-003,Return,834
INV-00000389,2024-11-05,MAT-006,WH-002,Sales,3504
INV-00000390,2025-05-22,MAT-010,WH-002,Production Consumption,425
INV-00000391,2025-01-25,MAT-010,WH-003,Purchase,2410
INV-00000392,2024-09-28,MAT-007,WH-001,Sales,3005
INV-00000393,2025-05-06,MAT-008,WH-002,Sales,961
INV-00000394,2026-05-04,MAT-003,WH-001,Purchase,3421
INV-00000395,2024-10-22,MAT-009,WH-003,Production Consumption,1007
INV-00000396,2025-09-04,MAT-001,WH-003,Production Consumption,2074
INV-00000397,2024-10-03,MAT-007,WH-001,Adjustment,2659
INV-00000398,2024-09-19,MAT-004,WH-003,Production Consumption,4829
INV-00000399,2026-06-29,MAT-006,WH-003,Purchase,2239
INV-00000400,2025-08-30,MAT-007,WH-002,Return,3731
INV-00000401,2026-01-25,MAT-010,WH-003,Production Consumption,1852
INV-00000402,2025-02-03,MAT-002,WH-003,Return,2008
INV-00000403,2025-05-26,MAT-008,WH-003,Purchase,2706
INV-00000404,2026-05-17,MAT-005,WH-003,Production Consumption,1217
INV-00000405,2025-11-24,MAT-004,WH-002,Production Consumption,446
INV-00000406,2025-06-05,MAT-002,WH-002,Return,1643
INV-00000407,2025-05-13,MAT-010,WH-002,Purchase,4126
INV-00000408,2026-05-01,MAT-002,WH-003,Adjustment,477
INV-00000409,2026-06-16,MAT-007,WH-001,Adjustment,311
INV-00000410,2026-03-14,MAT-008,WH-001,Sales,974
INV-00000411,2026-05-28,MAT-007,WH-003,Purchase,1238
INV-00000412,2026-03-31,MAT-002,WH-001,Production Consumption,1110
INV-00000413,2025-04-13,MAT-009,WH-002,Adjustment,1918
INV-00000414,2025-03-18,MAT-008,WH-002,Production Consumption,3001
INV-00000415,2026-04-05,MAT-005,WH-003,Adjustment,4045
INV-00000416,2025-01-27,MAT-010,WH-002,Production Consumption,3939
INV-00000417,2026-04-21,MAT-001,WH-002,Purchase,2602
INV-00000418,2025-11-14,MAT-002,WH-002,Purchase,4580
INV-00000419,2025-05-27,MAT-002,WH-003,Return,4872
INV-00000420,2025-12-05,MAT-006,WH-002,Production Consumption,3342
INV-00000421,2026-05-15,MAT-009,WH-002,Return,2820
INV-00000422,2025-02-09,MAT-009,WH-002,Return,4945
INV-00000423,2026-06-30,MAT-003,WH-001,Adjustment,219
INV-00000424,2024-12-27,MAT-003,WH-002,Adjustment,1736
INV-00000425,2025-09-24,MAT-006,WH-002,Adjustment,3254
INV-00000426,2025-10-30,MAT-006,WH-001,Return,1757
